column,pearson_r,abs_pearson_r,pearson_p,spearman_r,abs_spearman_r,spearman_p
Size,-0.35455941788098894,0.35455941788098894,0.0007006504859519662,0.034002703091712445,0.034002703091712445,0.7531384142132488
PDI,-0.46578642993456787,0.46578642993456787,4.805255864720819e-06,-0.3064744031326933,0.3064744031326933,0.003683028004433121
EE,0.35699422736170294,0.35699422736170294,0.0006395653952383218,0.10411969895267817,0.10411969895267817,0.33434904088783857
NDI-Size,-0.19591556874825214,0.19591556874825214,0.06734804231350894,-0.21210573877818295,0.21210573877818295,0.047265461180829506
NDI-PDI,-0.2462859095107388,0.2462859095107388,0.02071800769467881,-0.16614189823279013,0.16614189823279013,0.1218541329628969
NDI-EE,0.27797480647112793,0.27797480647112793,0.008735218033661339,0.6519112739184416,0.6519112739184416,6.010256574751408e-12
Deff,0.6032988391468198,0.6032988391468198,4.945450782185535e-10,0.5978114941539101,0.5978114941539101,7.77082611801867e-10
Arms,-0.13462759885576553,0.13462759885576553,0.21109384388598007,-0.11499837596381092,0.11499837596381092,0.2860170041180857
hydrophilicity,-0.23955535135814804,0.23955535135814804,0.02458027983017597,-0.26630448875112955,0.26630448875112955,0.012145030221971017
Concentration,0.015536047670005514,0.015536047670005514,0.8857643383590149,0.06762183185155142,0.06762183185155142,0.5313175150204916
MW,-0.1304993891547927,0.1304993891547927,0.22555861509904077,0.045282455238627645,0.045282455238627645,0.6752684808084517
MaxEStateIndex,0.15437145265863517,0.15437145265863517,0.1509879401564766,0.05955761927935991,0.05955761927935991,0.5814957454535469
MinAbsEStateIndex,-0.1694769720162959,0.1694769720162959,0.11444040847755517,-0.18111316409121264,0.18111316409121264,0.09127775620412289
MinEStateIndex,-0.149165297614345,0.149165297614345,0.1654232762122347,-0.13577298124314888,0.13577298124314888,0.20720002625136083
qed,0.09626034185437546,0.09626034185437546,0.37230457831462194,0.044031612828267876,0.044031612828267876,0.6837547196436354
SPS,-0.10531520701656127,0.10531520701656127,0.3287982463519853,0.0169406767427633,0.0169406767427633,0.8755154865192224
MolWt,0.057211376819436215,0.057211376819436215,0.5964929604700643,0.03207764886364575,0.03207764886364575,0.7667040962144539
HeavyAtomMolWt,0.057129296812754554,0.057129296812754554,0.5970207355514547,0.024579896317788084,0.024579896317788084,0.8201770195975313
NumValenceElectrons,0.0648362314372424,0.0648362314372424,0.5484040757139129,0.027045570441962947,0.027045570441962947,0.8024883076217495
MaxPartialCharge,-0.0008088707724369162,0.0008088707724369162,0.9940323685158003,-0.026312867425085377,0.026312867425085377,0.8077347665475536
MinPartialCharge,0.01037860997674371,0.01037860997674371,0.9235440175437184,0.04795732288765561,0.04795732288765561,0.657257674294967
MaxAbsPartialCharge,-0.01037860997674371,0.01037860997674371,0.9235440175437184,-0.04795732288765561,0.04795732288765561,0.657257674294967
MinAbsPartialCharge,-0.0008088707724369162,0.0008088707724369162,0.9940323685158003,-0.026312867425085377,0.026312867425085377,0.8077347665475536
FpDensityMorgan1,-0.061385884733349126,0.061385884733349126,0.5699309412021566,0.015808940509426297,0.015808940509426297,0.8837716564305416
FpDensityMorgan2,-0.06875307277862044,0.06875307277862044,0.5244551495181475,-0.028660728966320898,0.028660728966320898,0.7909542547611129
FpDensityMorgan3,-0.07835396915031867,0.07835396915031867,0.46806411294299255,-0.028660728966320898,0.028660728966320898,0.7909542547611129
BCUT2D_MWHI,0.1872797074968488,0.1872797074968488,0.08060015532467293,0.06344796258145587,0.06344796258145587,0.5570179590959699
BCUT2D_MWLOW,-0.10909810189436372,0.10909810189436372,0.3116233305318877,-0.09510121035760025,0.09510121035760025,0.37811627381374835
BCUT2D_CHGHI,-0.002283404378234346,0.002283404378234346,0.9831547306130598,-0.01195396396462212,0.01195396396462212,0.9119821818215856
BCUT2D_CHGLO,-0.18215989468992516,0.18215989468992516,0.08939049987648665,-0.13287290714522282,0.13287290714522282,0.21715941577283357
BCUT2D_LOGPHI,-0.04183884695365149,0.04183884695365149,0.6987259308419039,-0.03642776001053486,0.03642776001053486,0.7361557202878034
BCUT2D_LOGPLOW,-0.15350734824559598,0.15350734824559598,0.15331625696096873,-0.15465882963696018,0.15465882963696018,0.15021950262230094
BCUT2D_MRHI,-0.08209949964511053,0.08209949964511053,0.4469948349757168,-0.1525014574421615,0.1525014574421615,0.15606028260702917
BCUT2D_MRLOW,-0.18079776677541026,0.18079776677541026,0.09185254548217751,-0.0698493456512683,0.0698493456512683,0.5178477417578535
AvgIpc,0.022232500872393764,0.022232500872393764,0.8371012667565193,-0.08590585346173707,0.08590585346173707,0.42613752870235544
BalabanJ,-0.035872554330720806,0.035872554330720806,0.7400330041096506,0.011281995576078273,0.011281995576078273,0.916911794422368
BertzCT,-0.05612466429749852,0.05612466429749852,0.6034973659427648,-0.006118449011478186,0.006118449011478186,0.9548829588692107
Chi0,0.06512519311098217,0.06512519311098217,0.5466192981454601,0.03207764886364575,0.03207764886364575,0.7667040962144539
Chi0n,0.014790131422376035,0.014790131422376035,0.891214655506789,0.018249246762559217,0.018249246762559217,0.8659859125848745
Chi0v,0.014790131422376035,0.014790131422376035,0.891214655506789,0.018249246762559217,0.018249246762559217,0.8659859125848745
Chi1,0.02160629808485537,0.02160629808485537,0.8416289431674947,0.023483526841742864,0.023483526841742864,0.8280718853181481
Chi1n,-0.04765253970359752,0.04765253970359752,0.659300282592322,0.007816053361483695,0.007816053361483695,0.942384009997417
Chi1v,-0.04765253970359752,0.04765253970359752,0.659300282592322,0.007816053361483695,0.007816053361483695,0.942384009997417
Chi2n,-0.06048087480852633,0.06048087480852633,0.5756421630237618,-0.0750128922158684,0.0750128922158684,0.4873051373962527
Chi2v,-0.06048087480852633,0.06048087480852633,0.5756421630237618,-0.0750128922158684,0.0750128922158684,0.4873051373962527
Chi3n,-0.14770702918311213,0.14770702918311213,0.1696439134873678,-0.10047695746595102,0.10047695746595102,0.35162579492050894
Chi3v,-0.14770702918311213,0.14770702918311213,0.1696439134873678,-0.10047695746595102,0.10047695746595102,0.35162579492050894
Chi4n,-0.19397365031962238,0.19397365031962238,0.07016292112175182,-0.21261968060213451,0.21261968060213451,0.04671956099251717
Chi4v,-0.19397365031962238,0.19397365031962238,0.07016292112175182,-0.21261968060213451,0.21261968060213451,0.04671956099251717
HallKierAlpha,0.07158891491756947,0.07158891491756947,0.5074506155044027,0.0451877171765711,0.0451877171765711,0.6759098223916309
Ipc,-0.19336734343974846,0.19336734343974846,0.07106095980428997,-0.11472976065453892,0.11472976065453892,0.28715148443943384
Kappa1,0.11346925806477355,0.11346925806477355,0.2925149516659327,0.028470239619884045,0.028470239619884045,0.7923122789156258
Kappa2,0.11652437648418615,0.11652437648418615,0.27962855092851024,0.071193282428356,0.071193282428356,0.5098057485253904
Kappa3,0.0780303948396371,0.0780303948396371,0.4699092836015618,0.057400247084561255,0.057400247084561255,0.5952793166680652
LabuteASA,0.022011520553878384,0.022011520553878384,0.8386984385723867,0.02560553227924975,0.02560553227924975,0.812807655861582
PEOE_VSA1,0.2302325313760712,0.2302325313760712,0.03093005205315878,0.32309052547109696,0.32309052547109696,0.0021383451387665276
PEOE_VSA10,-0.014737042755628933,0.014737042755628933,0.8916027634025324,0.01393955466383526,0.01393955466383526,0.8974358674496951
PEOE_VSA14,-0.03353013115549866,0.03353013115549866,0.756461835890422,-0.084298794149708,0.084298794149708,0.43487472929603754
PEOE_VSA2,-0.19397365031962238,0.19397365031962238,0.07016292112175182,-0.21261968060213451,0.21261968060213451,0.04671956099251717
PEOE_VSA3,-0.014004918944114476,0.014004918944114476,0.8969575612453026,0.015251094327446485,0.015251094327446485,0.887845844418006
PEOE_VSA6,-0.2218438144066081,0.2218438144066081,0.03777540030851203,-0.24470760875095285,0.24470760875095285,0.02157364485048587
PEOE_VSA7,0.048163757270331446,0.048163757270331446,0.6558756101732487,0.152998350612509,0.152998350612509,0.15470023995614376
PEOE_VSA8,-0.2001016420328943,0.2001016420328943,0.061590411367487295,-0.30451560378709597,0.30451560378709597,0.003919015700593962
PEOE_VSA9,0.17289566970314946,0.17289566970314946,0.10720777598430474,0.175725017546983,0.175725017546983,0.10149533735231522
SMR_VSA1,0.1730770523845357,0.1730770523845357,0.10683421684334599,0.2249948344550007,0.2249948344550007,0.035068757205201494
SMR_VSA10,-0.03353013115549866,0.03353013115549866,0.756461835890422,-0.084298794149708,0.084298794149708,0.43487472929603754
SMR_VSA3,-0.1866957526172779,0.1866957526172779,0.08156648880660168,-0.20832433351926308,0.20832433351926308,0.051446099136031945
SMR_VSA5,-0.025168915378247055,0.025168915378247055,0.8159428698578265,0.03281719252914238,0.03281719252914238,0.7614840340345672
SMR_VSA6,0.06413096059884349,0.06413096059884349,0.55277203150251,-0.00960480362981418,0.00960480362981418,0.9292291045128531
SMR_VSA7,-0.10476007064821796,0.10476007064821796,0.33136842802630484,-0.12134355509111719,0.12134355509111719,0.26008296633657163
