名称,ndi,Size_after,PDI_After,EE_after,DC,polymer,arms,monomer 1,degree 1,monomer 2,degree 2,MW,concentration,hydrophobicity,,type
1,1.902067889,120,0.23,64.2,0.041,T304,4,1,4.3,2,3.7,1650,1,0,0.860465116,MultiArms-Amphiphilic
2,1.302422384,101,0.2,73.2,0.143,T304,4,1,4.3,2,3.7,1650,5,0,0.860465116,MultiArms-Amphiphilic
3,0.732230291,91,0.18,75.7,0.158,T304,4,1,4.3,2,3.7,1650,10,0,0.860465116,MultiArms-Amphiphilic
4,0.850687618,90,0.18,76.4,0.22,T304,4,1,4.3,2,3.7,1650,20,0,0.860465116,MultiArms-Amphiphilic
5,1.46339174,95,0.11,80.3,0.177,T704,4,1,14,2,13,5500,1,0,0.928571429,MultiArms-Amphiphilic
6,0.302825706,88,0.06,85.6,0.22,T704,4,1,14,2,13,5500,5,0,0.928571429,MultiArms-Amphiphilic
7,0.245731968,90,0.07,87.1,0.32,T704,4,1,14,2,13,5500,10,0,0.928571429,MultiArms-Amphiphilic
8,0.216695173,91,0.08,86.8,0.395,T704,4,1,14,2,13,5500,20,0,0.928571429,MultiArms-Amphiphilic
9,2.212953692,105,0.14,77.3,0.236,T904,4,1,17,2,15,6700,1,0,0.882352941,MultiArms-Amphiphilic
10,0.424338624,92,0.09,83.5,0.293,T904,4,1,17,2,15,6700,5,0,0.882352941,MultiArms-Amphiphilic
11,0.437405508,90,0.08,84.7,0.401,T904,4,1,17,2,15,6700,10,0,0.882352941,MultiArms-Amphiphilic
12,0.436518382,90,0.08,85.4,0.426,T904,4,1,17,2,15,6700,20,0,0.882352941,MultiArms-Amphiphilic
13,2.026891059,110,0.17,72.5,0.283,T908,4,1,21,2,114,25000,1,0,5.428571429,MultiArms-Amphiphilic
14,2.661244013,87,0.14,86.2,0.335,T908,4,1,21,2,114,25000,5,0,5.428571429,MultiArms-Amphiphilic
15,1.208874459,88,0.13,88.5,0.462,T908,4,1,21,2,114,25000,10,0,5.428571429,MultiArms-Amphiphilic
16,1.228961749,93,0.13,85.8,0.499,T908,4,1,21,2,114,25000,20,0,5.428571429,MultiArms-Amphiphilic
17,1.34225951,108,0.19,71.2,0.078,T90R4,4,1,18,2,16,6900,1,0,1.125,MultiArms-Amphiphilic
18,1.085957607,85,0.15,78.4,0.152,T90R4,4,1,18,2,16,6900,5,0,1.125,MultiArms-Amphiphilic
19,0.345197811,83,0.13,81.5,0.155,T90R4,4,1,18,2,16,6900,10,0,1.125,MultiArms-Amphiphilic
20,0.461407841,85,0.13,80.3,0.154,T90R4,4,1,18,2,16,6900,20,0,1.125,MultiArms-Amphiphilic
21,1.649590605,101,0.16,82.3,0.234,T1107,4,1,20,2,60,15000,1,0,3,MultiArms-Amphiphilic
22,1.755711588,84,0.13,84.7,0.316,T1107,4,1,20,2,60,15000,5,0,3,MultiArms-Amphiphilic
23,1.53441257,81,0.12,84.4,0.341,T1107,4,1,20,2,60,15000,10,0,3,MultiArms-Amphiphilic
24,1.139683902,87,0.12,85.1,0.456,T1107,4,1,20,2,60,15000,20,0,3,MultiArms-Amphiphilic
25,2.204878129,108,0.17,79.3,0.266,T1307,4,1,23,2,72,18000,1,0,3.130434783,MultiArms-Amphiphilic
26,2.221998904,93,0.15,81.7,0.468,T1307,4,1,23,2,72,18000,5,0,3.130434783,MultiArms-Amphiphilic
27,1.503621535,87,0.12,84.7,0.557,T1307,4,1,23,2,72,18000,10,0,3.130434783,MultiArms-Amphiphilic
28,2.108423586,88,0.12,82.4,0.647,T1307,4,1,23,2,72,18000,20,0,3.130434783,MultiArms-Amphiphilic
29,2.723338019,136,0.23,67.8,0.067,T150R1,4,1,29,2,5,7900,1,0,0.172413793,MultiArms-Amphiphilic
30,2.190520984,147,0.22,66.3,0.098,T150R1,4,1,29,2,5,7900,5,0,0.172413793,MultiArms-Amphiphilic
31,0.729418671,357,0.41,14.2,0.118,T150R1,4,1,29,2,5,7900,10,0,0.172413793,MultiArms-Amphiphilic
32,0.645124717,381,0.4,13.7,0.138,T150R1,4,1,29,2,5,7900,20,0,0.172413793,MultiArms-Amphiphilic
33,1.431342284,153,0.2,68.3,0.065,403,1,1,70,2,40,5800,1,0,0.571428571,SingleArms-Amphiphilic
34,1.250237772,158,0.21,64.2,0.069,403,1,1,70,2,40,5800,5,0,0.571428571,SingleArms-Amphiphilic
35,1.667593279,160,0.22,62.7,0.085,403,1,1,70,2,40,5800,10,0,0.571428571,SingleArms-Amphiphilic
36,2.59964455,175,0.23,57,0.091,403,1,1,70,2,40,5800,20,0,0.571428571,SingleArms-Amphiphilic
37,1.875252916,97,0.17,66.3,0.179,338,1,1,44,2,282,10000,1,0,6.409090909,SingleArms-Amphiphilic
38,0.244989758,78.5,0.13,70.1,0.306,338,1,1,44,2,282,10000,5,0,6.409090909,SingleArms-Amphiphilic
39,1.283371472,80,0.13,77.2,0.431,338,1,1,44,2,282,10000,10,0,6.409090909,SingleArms-Amphiphilic
40,2.342655367,84,0.13,80.3,0.468,338,1,1,44,2,282,10000,20,0,6.409090909,SingleArms-Amphiphilic
41,1.729059228,103,0.2,72.5,0.197,188,1,1,29,2,152,8400,1,0,5.24137931,SingleArms-Amphiphilic
42,1.255826934,91,0.15,74.1,0.414,188,1,1,29,2,152,8400,5,0,5.24137931,SingleArms-Amphiphilic
43,0.993633636,88,0.12,75.2,0.461,188,1,1,29,2,152,8400,10,0,5.24137931,SingleArms-Amphiphilic
44,1.662136027,85,0.1,79.4,0.486,188,1,1,29,2,152,8400,20,0,5.24137931,SingleArms-Amphiphilic
45,0.959131682,71,0.19,74.1,0.103,407,1,1,56,2,202,12220,1,0,3.607142857,SingleArms-Amphiphilic
46,0.574016563,70,0.2,32.5,0.194,407,1,1,56,2,202,12220,5,0,3.607142857,SingleArms-Amphiphilic
47,1.572510823,71,0.2,28.3,0.249,407,1,1,56,2,202,12220,10,0,3.607142857,SingleArms-Amphiphilic
48,1.44017094,76,0.21,22.7,0.295,407,1,1,56,2,202,12220,20,0,3.607142857,SingleArms-Amphiphilic
49,1.161807707,124,0.15,81.1,0.19,237,1,1,23,2,128,7835,1,0,5.565217391,SingleArms-Amphiphilic
50,0.69046972,106,0.13,85.5,0.41,237,1,1,23,2,128,7835,5,0,5.565217391,SingleArms-Amphiphilic
51,0.612241055,110,0.13,82.5,0.461,237,1,1,23,2,128,7835,10,0,5.565217391,SingleArms-Amphiphilic
52,0.772160999,113,0.14,80.9,0.486,237,1,1,23,2,128,7835,20,0,5.565217391,SingleArms-Amphiphilic
53,2.741007524,116,0.22,77.3,0.071,105,1,1,16,2,22,1900,1,0,1.375,SingleArms-Amphiphilic
54,2.759259259,105,0.2,75.2,0.077,105,1,1,16,2,22,1900,5,0,1.375,SingleArms-Amphiphilic
55,2.769759694,107,0.2,74.6,0.085,105,1,1,16,2,22,1900,10,0,1.375,SingleArms-Amphiphilic
56,3.014470791,110,0.21,74.8,0.073,105,1,1,16,2,22,1900,20,0,1.375,SingleArms-Amphiphilic
57,0.54309243,258,0.32,42.4,0.035,181,1,1,31,2,4,2000,1,0,0.129032258,SingleArms-Amphiphilic
58,0.642997565,276,0.33,41.3,0.041,181,1,1,31,2,4,2000,5,0,0.129032258,SingleArms-Amphiphilic
59,0.60746351,283,0.35,47.2,0.031,181,1,1,31,2,4,2000,10,0,0.129032258,SingleArms-Amphiphilic
60,0.630781259,315,0.42,45.9,0.03,181,1,1,31,2,4,2000,20,0,0.129032258,SingleArms-Amphiphilic
61,2.347139651,121,0.19,70.6,0.084,184,1,1,30,2,26,2900,1,0,0.866666667,SingleArms-Amphiphilic
62,1.620237429,112,0.15,75.4,0.075,184,1,1,30,2,26,2900,5,0,0.866666667,SingleArms-Amphiphilic
63,1.340010701,110,0.15,75.2,0.076,184,1,1,30,2,26,2900,10,0,0.866666667,SingleArms-Amphiphilic
64,1.711733476,115.2,0.16,78.5,0.088,184,1,1,30,2,26,2900,20,0,0.866666667,SingleArms-Amphiphilic
65,0.349200268,354,0.45,41.3,0.03,L31,1,1,16,2,4,1100,1,0,0.25,SingleArms-Amphiphilic
66,0.175733955,332,0.41,42.7,0.048,L31,1,1,16,2,4,1100,5,0,0.25,SingleArms-Amphiphilic
67,0.193427123,314,0.43,44.9,0.041,L31,1,1,16,2,4,1100,10,0,0.25,SingleArms-Amphiphilic
68,0.075131337,326,0.39,41.8,0.043,L31,1,1,16,2,4,1100,20,0,0.25,SingleArms-Amphiphilic
69,1.542210145,175,0.23,57,0.058,401,1,1,68,2,8,4400,1,0,0.117647059,SingleArms-Amphiphilic
70,1.440924236,158,0.21,64.2,0.078,401,1,1,68,2,8,4400,5,0,0.117647059,SingleArms-Amphiphilic
71,1.517915552,160,0.22,62.7,0.098,401,1,1,68,2,8,4400,10,0,0.117647059,SingleArms-Amphiphilic
72,1.290671768,153,0.2,66.3,0.104,401,1,1,68,2,8,4400,20,0,0.117647059,SingleArms-Amphiphilic
73,1.865112487,110,0.18,71.2,0.057,P10R5,1,1,44,2,8,2000,1,0,0.181818182,SingleArms-Amphiphilic
74,1.493455087,95,0.15,77.1,0.119,P10R5,1,1,44,2,8,2000,5,0,0.181818182,SingleArms-Amphiphilic
75,1.049798224,88,0.13,80.3,0.143,P10R5,1,1,44,2,8,2000,10,0,0.181818182,SingleArms-Amphiphilic
76,0.591422122,84,0.12,80.5,0.161,P10R5,1,1,44,2,8,2000,20,0,0.181818182,SingleArms-Amphiphilic
77,0.726972722,95,0.17,63.6,0.063,P84,1,1,43,2,38,4200,1,0,0.88372093,SingleArms-Amphiphilic
78,0.262233208,91,0.14,67.9,0.139,P84,1,1,43,2,38,4200,5,0,0.88372093,SingleArms-Amphiphilic
79,0.255900621,85,0.12,71.4,0.177,P84,1,1,43,2,38,4200,10,0,0.88372093,SingleArms-Amphiphilic
80,0.256018274,83,0.12,72.1,0.198,P84,1,1,43,2,38,4200,20,0,0.88372093,SingleArms-Amphiphilic
81,1.101529945,94,0.16,74.3,0.106,P85,1,1,40,2,50,4600,1,0,1.25,SingleArms-Amphiphilic
