Num.,Polymer,m1,c1,m2,c2,Size-neb,PDI-neb,EE-neb,Size,PDI,EE,NDI-Size,NDI-PDI,NDI-EE,Deff,Arms,hydrophilicity,Concentration,MW,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA5,SlogP_VSA6,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAtomStereoCenters,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_allylic_oxid,fr_amide,fr_ester,fr_ether,fr_lactone,fr_priamide,fr_unbrch_alkane
1,T904,PPG,68,PEG,60,105,0.14,77.3,85,0.05,94,1.235294118,2.8,0.822340426,0.236,4,0,1,6700,7.907671371,0.133076325,-0.378058179,0.423988343,11.86121544,70.22463585,63.00434115,29.48897235,0.070885583,-0.393821618,0.393821618,0.070885583,1.465196313,1.686121544,1.686121544,16.31058486,10.60923679,1.722352826,-1.813456786,1.560869724,-1.954191491,4.220934268,0.141699001,1.375505389,2.303169973,13.47497961,3.92025614,2.814683331,2.814683331,2.121134073,1.381085332,1.381085332,0.78702901,0.78702901,0.195495408,0.195495408,0,0,-0.08,8.48103944,4.501495391,2.48684527,3.082990783,28.39384515,10.21305479,0,0,0,0,0,0,4.026121273,0,12.92132084,10.21305479,0,0,0,7.575549598,9.371892516,0,0,23.13437563,0,4.026121273,0,40.46,3.549428324,0,9.371892516,0,0,4.026121273,0,0,10.21305479,0,0,15.68881365,0,0,-0.325745103,0.703006336,1,4.581495391,2,2,0,0,0,0.581495391,2,2,2,0,1,0,0,0.581495391,2.442167611,0,-0.80308904,16.84357132,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,T904,PPG,68,PEG,60,92,0.09,83.5,90,0.07,94.5,1.022222222,1.285714286,0.883597884,0.293,4,0,5,6700,7.907671371,0.133076325,-0.378058179,0.423988343,11.86121544,70.22463585,63.00434115,29.48897235,0.070885583,-0.393821618,0.393821618,0.070885583,1.465196313,1.686121544,1.686121544,16.31058486,10.60923679,1.722352826,-1.813456786,1.560869724,-1.954191491,4.220934268,0.141699001,1.375505389,2.303169973,13.47497961,3.92025614,2.814683331,2.814683331,2.121134073,1.381085332,1.381085332,0.78702901,0.78702901,0.195495408,0.195495408,0,0,-0.08,8.48103944,4.501495391,2.48684527,3.082990783,28.39384515,10.21305479,0,0,0,0,0,0,4.026121273,0,12.92132084,10.21305479,0,0,0,7.575549598,9.371892516,0,0,23.13437563,0,4.026121273,0,40.46,3.549428324,0,9.371892516,0,0,4.026121273,0,0,10.21305479,0,0,15.68881365,0,0,-0.325745103,0.703006336,1,4.581495391,2,2,0,0,0,0.581495391,2,2,2,0,1,0,0,0.581495391,2.442167611,0,-0.80308904,16.84357132,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,T904,PPG,68,PEG,60,90,0.08,84.7,88,0.06,92.2,1.022727273,1.333333333,0.918655098,0.401,4,0,10,6700,7.907671371,0.133076325,-0.378058179,0.423988343,11.86121544,70.22463585,63.00434115,29.48897235,0.070885583,-0.393821618,0.393821618,0.070885583,1.465196313,1.686121544,1.686121544,16.31058486,10.60923679,1.722352826,-1.813456786,1.560869724,-1.954191491,4.220934268,0.141699001,1.375505389,2.303169973,13.47497961,3.92025614,2.814683331,2.814683331,2.121134073,1.381085332,1.381085332,0.78702901,0.78702901,0.195495408,0.195495408,0,0,-0.08,8.48103944,4.501495391,2.48684527,3.082990783,28.39384515,10.21305479,0,0,0,0,0,0,4.026121273,0,12.92132084,10.21305479,0,0,0,7.575549598,9.371892516,0,0,23.13437563,0,4.026121273,0,40.46,3.549428324,0,9.371892516,0,0,4.026121273,0,0,10.21305479,0,0,15.68881365,0,0,-0.325745103,0.703006336,1,4.581495391,2,2,0,0,0,0.581495391,2,2,2,0,1,0,0,0.581495391,2.442167611,0,-0.80308904,16.84357132,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,T904,PPG,68,PEG,60,90,0.08,85.4,87,0.06,91.7,1.034482759,1.333333333,0.93129771,0.426,4,0,20,6700,7.907671371,0.133076325,-0.378058179,0.423988343,11.86121544,70.22463585,63.00434115,29.48897235,0.070885583,-0.393821618,0.393821618,0.070885583,1.465196313,1.686121544,1.686121544,16.31058486,10.60923679,1.722352826,-1.813456786,1.560869724,-1.954191491,4.220934268,0.141699001,1.375505389,2.303169973,13.47497961,3.92025614,2.814683331,2.814683331,2.121134073,1.381085332,1.381085332,0.78702901,0.78702901,0.195495408,0.195495408,0,0,-0.08,8.48103944,4.501495391,2.48684527,3.082990783,28.39384515,10.21305479,0,0,0,0,0,0,4.026121273,0,12.92132084,10.21305479,0,0,0,7.575549598,9.371892516,0,0,23.13437563,0,4.026121273,0,40.46,3.549428324,0,9.371892516,0,0,4.026121273,0,0,10.21305479,0,0,15.68881365,0,0,-0.325745103,0.703006336,1,4.581495391,2,2,0,0,0,0.581495391,2,2,2,0,1,0,0,0.581495391,2.442167611,0,-0.80308904,16.84357132,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,T304,PPG,14.8,PEG,17.2,120,0.23,64.2,80,0.11,93.2,1.5,2.090909091,0.688841202,0.041,4,0,1,1650,7.874552074,0.132130059,-0.348408523,0.422059748,11.35023199,69.26896055,62.1860182,29.08018559,0.070339717,-0.39384141,0.39384141,0.070339717,1.410691413,1.635023199,1.635023199,16.3098436,10.63373453,1.705123171,-1.80005424,1.541155188,-1.941433285,4.202369039,0.146882346,1.374971724,2.264689923,12.59917082,3.860965471,2.755392662,2.755392662,2.096890154,1.351954528,1.351954528,0.747214409,0.747214409,0.184306653,0.184306653,0,0,-0.08,8.290494976,4.433364266,2.537596006,2.946728531,27.96019448,10.21305479,0,0,0,0,0,0,3.554399264,0,12.95558504,10.21305479,0,0,0,6.687957487,9.822026821,0,0,23.16863983,0,3.554399264,0,40.46,3.133558223,0,9.822026821,0,0,3.554399264,0,0,10.21305479,0,0,15.63739989,0,0,-0.287579056,0.591346991,1,4.513364266,2,2,0,0,0,0.513364266,2,2,2,0,1,0,0,0.513364266,2.491310565,0,-0.829557983,16.5305088,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,T304,PPG,14.8,PEG,17.2,101,0.2,73.2,78,0.11,90.3,1.294871795,1.818181818,0.810631229,0.143,4,0,5,1650,7.874552074,0.132130059,-0.348408523,0.422059748,11.35023199,69.26896055,62.1860182,29.08018559,0.070339717,-0.39384141,0.39384141,0.070339717,1.410691413,1.635023199,1.635023199,16.3098436,10.63373453,1.705123171,-1.80005424,1.541155188,-1.941433285,4.202369039,0.146882346,1.374971724,2.264689923,12.59917082,3.860965471,2.755392662,2.755392662,2.096890154,1.351954528,1.351954528,0.747214409,0.747214409,0.184306653,0.184306653,0,0,-0.08,8.290494976,4.433364266,2.537596006,2.946728531,27.96019448,10.21305479,0,0,0,0,0,0,3.554399264,0,12.95558504,10.21305479,0,0,0,6.687957487,9.822026821,0,0,23.16863983,0,3.554399264,0,40.46,3.133558223,0,9.822026821,0,0,3.554399264,0,0,10.21305479,0,0,15.63739989,0,0,-0.287579056,0.591346991,1,4.513364266,2,2,0,0,0,0.513364266,2,2,2,0,1,0,0,0.513364266,2.491310565,0,-0.829557983,16.5305088,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,T304,PPG,14.8,PEG,17.2,91,0.18,75.7,83,0.12,87.6,1.096385542,1.5,0.864155251,0.158,4,0,10,1650,7.874552074,0.132130059,-0.348408523,0.422059748,11.35023199,69.26896055,62.1860182,29.08018559,0.070339717,-0.39384141,0.39384141,0.070339717,1.410691413,1.635023199,1.635023199,16.3098436,10.63373453,1.705123171,-1.80005424,1.541155188,-1.941433285,4.202369039,0.146882346,1.374971724,2.264689923,12.59917082,3.860965471,2.755392662,2.755392662,2.096890154,1.351954528,1.351954528,0.747214409,0.747214409,0.184306653,0.184306653,0,0,-0.08,8.290494976,4.433364266,2.537596006,2.946728531,27.96019448,10.21305479,0,0,0,0,0,0,3.554399264,0,12.95558504,10.21305479,0,0,0,6.687957487,9.822026821,0,0,23.16863983,0,3.554399264,0,40.46,3.133558223,0,9.822026821,0,0,3.554399264,0,0,10.21305479,0,0,15.63739989,0,0,-0.287579056,0.591346991,1,4.513364266,2,2,0,0,0,0.513364266,2,2,2,0,1,0,0,0.513364266,2.491310565,0,-0.829557983,16.5305088,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,T304,PPG,14.8,PEG,17.2,90,0.18,76.4,82,0.11,86.5,1.097560976,1.636363636,0.883236994,0.22,4,0,20,1650,7.874552074,0.132130059,-0.348408523,0.422059748,11.35023199,69.26896055,62.1860182,29.08018559,0.070339717,-0.39384141,0.39384141,0.070339717,1.410691413,1.635023199,1.635023199,16.3098436,10.63373453,1.705123171,-1.80005424,1.541155188,-1.941433285,4.202369039,0.146882346,1.374971724,2.264689923,12.59917082,3.860965471,2.755392662,2.755392662,2.096890154,1.351954528,1.351954528,0.747214409,0.747214409,0.184306653,0.184306653,0,0,-0.08,8.290494976,4.433364266,2.537596006,2.946728531,27.96019448,10.21305479,0,0,0,0,0,0,3.554399264,0,12.95558504,10.21305479,0,0,0,6.687957487,9.822026821,0,0,23.16863983,0,3.554399264,0,40.46,3.133558223,0,9.822026821,0,0,3.554399264,0,0,10.21305479,0,0,15.63739989,0,0,-0.287579056,0.591346991,1,4.513364266,2,2,0,0,0,0.513364266,2,2,2,0,1,0,0,0.513364266,2.491310565,0,-0.829557983,16.5305088,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,T704,PPG,56,PEG,52,95,0.11,80.3,85,0.05,94,1.117647059,2.2,0.854255319,0.177,4,0,1,5500,7.901607669,0.132903076,-0.372629722,0.423635243,11.76766118,70.04966444,62.85451712,29.41412894,0.070785642,-0.393825241,0.393825241,0.070785642,1.455217192,1.676766118,1.676766118,16.31044915,10.613722,1.719198306,-1.811002958,1.557260255,-1.951855634,4.217535222,0.142648003,1.375407682,2.296124789,13.31463069,3.909400808,2.803827999,2.803827999,2.116695334,1.37575187,1.37575187,0.779739487,0.779739487,0.193446896,0.193446896,0,0,-0.08,8.446153287,4.48902149,2.496137053,3.05804298,28.31444949,10.21305479,0,0,0,0,0,0,3.939755258,0,12.92759416,10.21305479,0,0,0,7.413043309,9.45430611,0,0,23.14064895,0,3.939755258,0,40.46,3.473288049,0,9.45430611,0,0,3.939755258,0,0,10.21305479,0,0,15.67940048,0,0,-0.318757409,0.682562998,1,4.56902149,2,2,0,0,0,0.56902149,2,2,2,0,1,0,0,0.56902149,2.451165031,0,-0.807935151,16.78625375,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,T704,PPG,56,PEG,52,88,0.06,85.6,86,0.05,93,1.023255814,1.2,0.920430108,0.22,4,0,5,5500,7.901607669,0.132903076,-0.372629722,0.423635243,11.76766118,70.04966444,62.85451712,29.41412894,0.070785642,-0.393825241,0.393825241,0.070785642,1.455217192,1.676766118,1.676766118,16.31044915,10.613722,1.719198306,-1.811002958,1.557260255,-1.951855634,4.217535222,0.142648003,1.375407682,2.296124789,13.31463069,3.909400808,2.803827999,2.803827999,2.116695334,1.37575187,1.37575187,0.779739487,0.779739487,0.193446896,0.193446896,0,0,-0.08,8.446153287,4.48902149,2.496137053,3.05804298,28.31444949,10.21305479,0,0,0,0,0,0,3.939755258,0,12.92759416,10.21305479,0,0,0,7.413043309,9.45430611,0,0,23.14064895,0,3.939755258,0,40.46,3.473288049,0,9.45430611,0,0,3.939755258,0,0,10.21305479,0,0,15.67940048,0,0,-0.318757409,0.682562998,1,4.56902149,2,2,0,0,0,0.56902149,2,2,2,0,1,0,0,0.56902149,2.451165031,0,-0.807935151,16.78625375,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
