SMILES,Name,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA5,SlogP_VSA6,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAtomStereoCenters,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_allylic_oxid,fr_amide,fr_ester,fr_ether,fr_lactone,fr_priamide,fr_unbrch_alkane
CC(CO)O,PPG,8.111111111,0.138888889,-0.560185185,0.435834997,15,76.095,68.031,32,0.074238644,-0.393700042,0.393700042,0.074238644,1.8,2,2,16.31513815,10.4587561,1.828188298,-1.895783728,1.681968913,-2.032560487,4.334973682,0.109859609,1.378783493,2.539538861,18.85475297,4.28445705,3.178884241,3.178884241,2.27005561,1.560025215,1.560025215,1.031595552,1.031595552,0.264223844,0.264223844,0,0,-0.08,9.651484454,4.92,2.175102041,3.92,31.05760276,10.21305479,0,0,0,0,0,0,6.9237372,0,12.71084835,10.21305479,0,0,0,13.02770359,6.606881965,0,0,22.92390314,0,6.9237372,0,40.46,6.103966388,0,6.606881965,0,0,6.9237372,0,0,10.21305479,0,0,16.00462963,0,0,-0.560185185,1.388888889,1,5,2,2,0,0,0,1,2,2,2,0,1,0,0,1,2.140300408,0,-0.6405,18.7666,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C(CO)O,PEG,7.625,0.125,-0.125,0.407527891,7.5,62.068,56.02,26,0.06622664,-0.393990542,0.393990542,0.06622664,1,1.25,1.25,16.30425825,10.81832367,1.575298676,-1.699066797,1.392607251,-1.84530091,4.062481069,0.185938562,1.370950594,1.974744871,6,3.414213562,2.308640753,2.308640753,1.914213562,1.132455532,1.132455532,0.447213595,0.447213595,0.1,0.1,0,0,-0.08,6.854752972,3.92,2.92,1.92,24.69266065,10.21305479,0,0,0,0,0,0,0,0,13.21376393,10.21305479,0,0,0,0,13.21376393,0,0,23.42681872,0,0,0,40.46,0,0,13.21376393,0,0,0,0,0,10.21305479,0,0,15.25,0,0,0,-0.25,1,4,2,2,0,0,0,0,2,2,2,0,1,0,0,0,2.8616,0,-1.029,14.1716,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=CO,PVA,7.333333333,0.75,0.75,0.396456387,4,44.053,40.021,18,0.071934729,-0.516216209,0.516216209,0.071934729,2,2,2,16.24221061,11.19246318,1.11190626,-1.412909244,1.256670969,-1.245986448,4.375059121,0.475837238,0.918295834,2.187496097,10.26466251,2.707106781,1.731670646,1.731670646,1.414213562,0.66644718,0.66644718,0.182574186,0.182574186,0,0,0,0,-0.46,2.754887502,2.54,1.54,1.54,19.20882386,5.106527395,0,0,0,0,0,6.578935684,0,0,6.262080448,5.106527395,0,0,0,0,0,12.84101613,0,5.106527395,0,0,12.84101613,20.23,0,0,0,0,6.262080448,0,0,6.578935684,5.106527395,0,0,7.333333333,0,0,0.75,2.916666667,0,3,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1.303866667,0,0.6879,12.8258,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C(=O)O)O,PLA,9.449074074,1.185185185,-1.231481481,0.453935951,13.66666667,90.078,84.03,36,0.33172308,-0.479335599,0.479335599,0.33172308,1.833333333,2,2,16.39873526,10.4339672,2.009807514,-1.885487346,1.72919232,-2.130994801,5.706957286,-0.145057558,1.360964047,3.257586161,57.05865003,5.154700538,3.380025751,3.380025751,2.64273441,1.551955237,1.551955237,1.014211137,1.014211137,0.35739023,0.35739023,0,0,-0.57,13.60964047,5.43,1.76763384,1.72154519,35.21912486,10.21305479,6.103966388,0,5.969305288,0,4.794537184,0,6.9237372,0,0,15.00759197,5.969305288,0,0,13.02770359,0,0,0,22.28632647,4.794537184,6.9237372,0,57.53,12.07327168,4.794537184,0,0,0,6.9237372,0,0,10.21305479,0,9.449074074,15.77083333,0,-1.185185185,-1.231481481,1.196759259,0.666666667,6,2,3,0,0,0,1,2,2,3,0,1,0,0,1,1.599708625,0,-0.5482,19.3166,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
C(C(=O)O)O,PGA,9.118055556,0.777777778,-1.189814815,0.423614075,7.4,76.051,72.019,30,0.328849904,-0.479540775,0.479540775,0.328849904,1.8,2,2,16.39271308,10.7712312,1.821840346,-1.718180429,1.484555095,-1.982084097,5.670786926,-0.139632766,1.378783493,2.847378923,40.15772188,4.28445705,2.509782263,2.509782263,2.27005561,1.0975121,1.0975121,0.551852426,0.551852426,0.135260401,0.135260401,0,0,-0.57,9.651484454,4.43,1.72154519,3.43,28.85418275,10.21305479,6.606881965,0,5.969305288,0,4.794537184,0,0,0,0,15.00759197,5.969305288,0,0,0,6.606881965,0,0,22.78924204,4.794537184,0,0,57.53,12.57618725,0,0,0,0,0,0,0,15.00759197,0,9.118055556,15.0162037,0,-1.189814815,0,-0.777777778,0.5,5,2,3,0,0,0,0,2,2,3,0,1,0,0,0,1.525289038,0,-0.9367,14.7216,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCCCC(=O)O,LA,10.20640175,0.343089991,-0.659309449,0.541252579,10.35714286,200.322,176.13,84,0.302839557,-0.48123039,0.48123039,0.302839557,0.857142857,1.285714286,1.714285714,16.36512498,10.06722392,1.956963566,-1.998444069,2.096570465,-1.929208723,5.660148044,-0.136651836,2.148333375,2.884064615,132.2834189,10.64841808,9.426529698,9.426529698,6.77005561,5.988391115,5.988391115,3.972165668,3.972165668,2.494195557,2.494195557,1.586885897,1.586885897,-0.53,1119.281689,13.47,10.55019246,11.47,87.70937014,5.106527395,0,0,5.969305288,4.794537184,0,58.29031018,6.420821623,6.420821623,0,9.901064579,5.969305288,0,0,71.13195343,0,0,0,11.07583268,4.794537184,71.13195343,0,37.3,5.969305288,4.794537184,0,6.420821623,12.84164325,44.94575136,0,6.9237372,5.106527395,0,10.20640175,8.413285734,0,-0.659309449,11.47821215,2.228076474,0.916666667,14,1,2,0,0,0,0,1,1,2,0,10,0,0,0,10.15079232,0,3.9919,59.4798,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8
CCCCCCCCCCCCCCCC(=O)O,PA,10.30065142,0.345,-0.654562036,0.413489783,10.72222222,256.43,224.174,108,0.302839557,-0.48123039,0.48123039,0.302839557,0.666666667,1,1.333333333,16.36512998,10.04473192,1.963312707,-2.01997952,2.122507226,-1.929455998,5.660158458,-0.136652747,2.34461019,2.922965609,177.9357738,13.47684521,12.25495682,12.25495682,8.77005561,7.988391115,7.988391115,5.38637923,5.38637923,3.494195557,3.494195557,2.293992678,2.293992678,-0.53,8372.602988,17.47,14.53071645,15.47,113.1691386,5.106527395,0,0,5.969305288,4.794537184,0,83.97359667,6.420821623,6.420821623,0,9.901064579,5.969305288,0,0,96.81523992,0,0,0,11.07583268,4.794537184,96.81523992,0,37.3,5.969305288,4.794537184,0,6.420821623,12.84164325,70.62903785,0,6.9237372,5.106527395,0,10.30065142,8.490622453,0,-0.654562036,17.26957448,2.260380357,0.9375,18,1,2,0,0,0,0,1,1,2,0,14,0,0,0,14.10286758,0,5.5523,77.9478,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,12
CCCCCCCCCCCCCCCCCC(=O)O,SA,10.33320724,0.345492118,-0.653061016,0.336041979,10.85,284.484,248.196,120,0.302839557,-0.48123039,0.48123039,0.302839557,0.6,0.9,1.2,16.36513249,10.03832299,1.965533262,-2.02623063,2.130626096,-1.929476882,5.660163678,-0.136653196,2.425549658,2.938980067,201.5949031,14.89105877,13.66917038,13.66917038,9.77005561,8.988391115,8.988391115,6.093486012,6.093486012,3.994195557,3.994195557,2.647546069,2.647546069,-0.53,22676.46375,19.47,16.52414185,17.47,125.8990228,5.106527395,0,0,5.969305288,4.794537184,0,96.81523992,6.420821623,6.420821623,0,9.901064579,5.969305288,0,0,109.6568832,0,0,0,11.07583268,4.794537184,109.6568832,0,37.3,5.969305288,4.794537184,0,6.420821623,12.84164325,83.4706811,0,6.9237372,5.106527395,0,10.33320724,8.517321778,0,-0.653061016,20.19919723,2.270001429,0.944444444,20,1,2,0,0,0,0,1,1,2,0,16,0,0,0,16.08625209,0,6.3325,87.1818,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,14
CCCCCCCC/C=C\CCCCCCCC(=O)O,OA,10.32407501,0.331506779,-0.664233856,0.290516942,11.25,282.468,248.196,118,0.302839557,-0.48123039,0.48123039,0.302839557,0.75,1.2,1.7,16.36513221,10.07806935,1.953654253,-1.987595192,2.09285913,-1.928441849,5.660170292,-0.136652993,2.425549658,3.066157801,233.5727214,14.89105877,13.40965736,13.40965736,9.77005561,8.638221029,8.638221029,5.728027239,5.728027239,3.652443848,3.652443848,2.346965552,2.346965552,-0.79,22676.46375,19.21,16.26491488,17.21,125.2094198,5.106527395,0,0,5.969305288,4.794537184,0,70.4423504,32.10410811,6.420821623,0,9.901064579,5.969305288,0,0,96.81523992,0,12.15204021,0,11.07583268,4.794537184,96.81523992,12.15204021,37.3,5.969305288,4.794537184,0,6.420821623,12.84164325,70.62903785,0,19.07577741,5.106527395,0,10.32407501,8.508189547,0,-0.664233856,21.23980737,2.25882859,0.833333333,20,1,2,0,0,0,0,1,1,2,0,15,0,0,0,15.62245074,0,6.1085,87.0878,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,11
O=C1CCCCCO1,PCL,10.46083333,0.025462963,-0.025462963,0.440706329,21.75,114.144,104.064,46,0.305277534,-0.465675003,0.465675003,0.305277534,1.25,2.125,3,16.53263976,10.20484462,2.050493808,-1.934626436,2.057846139,-1.996584833,5.688901399,-0.142184485,1.940878457,2.266696515,78.52932501,5.819990956,4.852030487,4.852030487,3.89384685,3.050476816,3.050476816,2.031130352,2.031130352,1.288288118,1.288288118,0.806349353,0.806349353,-0.53,85.39865213,5.603868809,2.698435941,1.523475772,48.83319778,4.736862954,0,0,5.969305288,4.794537184,0,0,19.26246487,6.420821623,6.606881965,9.531400138,5.969305288,0,0,25.68328649,6.606881965,0,0,12.57618725,9.531400138,25.68328649,0,26.3,0,4.794537184,5.969305288,13.02770359,19.26246487,0,0,0,4.736862954,4.763888889,10.46083333,0,0,-0.025462963,3.829675926,0.637731481,0.833333333,8,0,2,1,1,0,0,2,0,2,1,0,1,1,0,1.890210125,1,1.1036,29.427,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0
