样品名称,Size_before,PDI_before,EE_before,ADI,Size_after,PDI_after,EE_after,DC,MSD,研究参数-聚合物名称,,transfer,transfer_log,transfer_log2
1,67,0.16,28.5,0.323039408,68,0.17,21.5,0.184,31.7,P105,Single-Arm,146000,5.164352856,5.164352856
2,67,0.15,29.4,0.402000203,66,0.18,23.9,0.137,23.7,P105,Single-Arm,84400,4.926342447,4.926342447
3,79,0.11,45.2,1.079971893,85,0.2,36.8,0.063,10.8,P105,Single-Arm,68200,4.833784375,4.833784375
4,66,0.16,26.8,0.483435097,67,0.18,17.6,0.227,39.2,P105,Single-Arm,36700,4.564666064,4.564666064
5,61,0.11,79.5,0.959131682,71,0.19,74.1,0.103,17.8,407,Single-Arm,778000,5.890979597,5.890979597
6,69,0.15,42,0.574016563,70,0.2,32.5,0.194,33.5,407,Single-Arm,528000,5.722633923,5.722633923
7,71,0.14,13.2,1.572510823,71,0.2,28.3,0.249,42.9,407,Single-Arm,495000,5.694605199,5.694605199
8,76,0.14,11.7,1.44017094,76,0.21,22.7,0.295,50.8,407,Single-Arm,403000,5.605305046,5.605305046
9,84,0.04,88.5,2.342655367,84,0.13,80.3,0.468,80.8,338,Single-Arm,1300000,6.113943352,6.113943352
10,80,0.06,87.4,1.283371472,80,0.13,77.2,0.431,74.5,338,Single-Arm,1150000,6.06069784,6.06069784
11,81,0.13,89.2,0.244989758,78.5,0.13,70.1,0.306,52.9,338,Single-Arm,1010000,6.004321374,6.004321374
12,81,0.07,88.3,1.875252916,97,0.17,66.3,0.179,16.9,338,Single-Arm,432000,5.635483747,5.635483747
13,88,0.09,89.2,0.69046972,106,0.13,85.5,0.41,70.7,237,Single-Arm,1520000,6.181843588,6.181843588
14,100,0.09,88.5,0.612241055,110,0.13,82.5,0.461,79.6,237,Single-Arm,1440000,6.158362492,6.158362492
15,87,0.1,87.3,0.772160999,113,0.14,80.9,0.486,83.9,237,Single-Arm,1170000,6.068185862,6.068185862
16,89,0.09,90.3,1.161807707,124,0.15,81.1,0.19,32.8,237,Single-Arm,862000,5.935507266,5.935507266
17,83,0.09,88.7,0.303394714,83,0.11,81.5,0.229,39.6,124,Single-Arm,2090000,6.320146286,6.120146286
18,82,0.09,89.2,0.296213254,82,0.11,82.6,0.255,44,124,Single-Arm,1450000,6.161368002,6.161368002
19,78,0.12,90.2,0.410654386,87,0.14,78.6,0.192,33.2,124,Single-Arm,1100000,6.041392685,6.041392685
20,79,0.1,91.3,1.030352018,95,0.16,70.5,0.083,14.3,124,Single-Arm,849000,5.92890769,5.92890769
21,75,0.11,86.4,0.345197811,83,0.13,81.5,0.155,44.1,T90R4,Multi-Arm,1210000,6.08278537,6.08278537
22,77,0.1,85.2,0.461407841,85,0.13,80.3,0.154,50.7,T90R4,Multi-Arm,959000,5.981818607,5.981818607
23,77,0.08,87.8,1.085957607,85,0.15,78.4,0.152,26.3,T90R4,Multi-Arm,823000,5.915399835,5.915399835
24,77,0.11,90.4,1.34225951,108,0.19,71.2,0.078,13.5,T90R4,Multi-Arm,83500,4.921686475,4.921686475
25,252,0.39,65.3,0.322555146,193,0.38,61.2,0.068,6.6,T901,Multi-Arm,53500,4.728353782,4.728353782
26,570,0.72,15.3,1.104411765,456,0.75,2.1,0.02,3.4,T901,Multi-Arm,37300,4.571708832,4.571708832
27,586,0.77,20.1,1.267800034,410.1,0.68,3,0.029,5.1,T901,Multi-Arm,34000,4.531478917,4.531478917
28,591,0.84,10.4,1.042610308,473,0.77,2.5,0.027,4.7,T901,Multi-Arm,14200,4.152288344,4.152288344
29,86,0.05,93,0.302825706,88,0.06,85.6,0.22,52.6,T704,Multi-Arm,2190000,6.340444115,6.140444115
