Feature,Model_Weight,Mean_SHAP
Arms,0.005293178,0.08219148
hydrophilicity,0.21248661,0.12755091
Concentration,0.017279768,0.23704386
MW,0.017820165,0.21782139
MaxEStateIndex,0.010184959,0.045269553
MinAbsEStateIndex,0.010984938,0.036271065
MinEStateIndex,0.0058297287,0.014829595
qed,0.00816794,0.016433058
SPS,0.010894446,0.019293526
MolWt,0.0053641326,0.011296256
HeavyAtomMolWt,0.0009716209,0.0018622308
NumValenceElectrons,0.005005992,0.0034747776
MaxPartialCharge,0.024100492,0.019859163
MinPartialCharge,0.072434455,0.12552004
MaxAbsPartialCharge,0.0,0.0
MinAbsPartialCharge,0.019588491,0.011902656
FpDensityMorgan1,0.010758183,0.01766883
FpDensityMorgan2,0.007771135,0.008276439
FpDensityMorgan3,0.0012057764,0.009206804
BCUT2D_MWHI,0.004829464,0.005441368
BCUT2D_MWLOW,0.0024107073,0.005417735
BCUT2D_CHGHI,0.004384295,0.012057679
BCUT2D_CHGLO,0.0030143384,0.005118622
BCUT2D_LOGPHI,0.01911089,0.017015126
BCUT2D_LOGPLOW,0.0033245455,0.0049004164
BCUT2D_MRHI,0.011493238,0.010205543
BCUT2D_MRLOW,0.024244279,0.015990999
AvgIpc,0.0050452063,0.0072619473
BalabanJ,0.005986638,0.016679216
BertzCT,0.0005876707,0.0017530551
Chi0,0.000693276,0.000481818
Chi0n,0.0047684,0.0029342484
Chi0v,0.0017226211,0.011440815
Chi1,0.0006447905,0.0021488473
Chi1n,0.00478843,0.009116359
Chi1v,0.0,0.0
Chi2n,0.038994696,0.034361236
Chi2v,0.0,0.0
Chi3n,0.21478638,0.33729994
Chi3v,0.011607233,0.0029018184
Chi4n,0.0,0.0
Chi4v,0.0,0.0
HallKierAlpha,0.0004723567,0.00070552767
Ipc,0.0,0.0
Kappa1,0.0,0.0
Kappa2,0.005957119,0.0070732124
Kappa3,0.003359288,0.016393404
LabuteASA,0.0,0.0
PEOE_VSA1,0.0,0.0
PEOE_VSA10,0.00056013383,0.0001891266
PEOE_VSA12,0.0,0.0
PEOE_VSA14,0.0,0.0
PEOE_VSA2,0.0,0.0
PEOE_VSA3,0.0,0.0
PEOE_VSA6,0.0,0.0
PEOE_VSA7,0.0022212293,0.0071961745
PEOE_VSA8,0.0,0.0
PEOE_VSA9,0.0007239248,0.0012820588
SMR_VSA1,0.0,0.0
SMR_VSA10,0.0,0.0
SMR_VSA3,0.0,0.0
SMR_VSA4,0.0,0.0
SMR_VSA5,0.0046399953,0.0151525615
SMR_VSA6,0.036630683,0.035413835
SMR_VSA7,0.0,0.0
SlogP_VSA1,0.0,0.0
SlogP_VSA2,0.005604083,0.015276676
SlogP_VSA3,0.0,0.0
SlogP_VSA5,0.00065965013,0.0023480856
SlogP_VSA6,0.0,0.0
TPSA,0.0,0.0
EState_VSA1,0.03725543,0.016302662
EState_VSA10,0.0,0.0
EState_VSA2,0.022245001,0.015726414
EState_VSA3,0.0,0.0
EState_VSA4,0.0022271066,0.00073324546
EState_VSA5,0.0017319542,0.0070209126
EState_VSA7,0.0,0.0
EState_VSA8,0.0,0.0
EState_VSA9,0.0,0.0
VSA_EState1,0.0,0.0
VSA_EState2,0.0,0.0
VSA_EState3,0.002835287,0.00790775
VSA_EState4,0.0,0.0
VSA_EState5,0.0010012932,0.0012852346
VSA_EState7,0.0051563047,0.0022251587
VSA_EState8,0.0041945344,0.009774241
FractionCSP3,0.0,0.0
HeavyAtomCount,0.0,0.0
NHOHCount,0.0,0.0
NOCount,0.0,0.0
NumAliphaticHeterocycles,0.0,0.0
NumAliphaticRings,0.0,0.0
NumAmideBonds,0.0,0.0
NumAtomStereoCenters,0.0027416283,0.0039274488
NumHAcceptors,0.0,0.0
NumHDonors,0.0,0.0
NumHeteroatoms,0.0,0.0
NumHeterocycles,0.0,0.0
NumRotatableBonds,0.0,0.0
NumSaturatedHeterocycles,0.0,0.0
NumSaturatedRings,0.0,0.0
NumUnspecifiedAtomStereoCenters,0.0,0.0
Phi,0.0,0.0
RingCount,0.0,0.0
MolLogP,0.051203948,0.042266987
MolMR,0.0,0.0
fr_Al_COO,0.0,0.0
fr_Al_OH,0.0,0.0
fr_Al_OH_noTert,0.0,0.0
fr_COO,0.0,0.0
fr_COO2,0.0,0.0
fr_C_O,0.0,0.0
fr_C_O_noCOO,0.0,0.0
fr_NH0,0.0,0.0
fr_NH1,0.0,0.0
fr_NH2,0.0,0.0
fr_allylic_oxid,0.0,0.0
fr_amide,0.0,0.0
fr_ester,0.0,0.0
fr_ether,0.0,0.0
fr_lactone,0.0,0.0
fr_priamide,0.0,0.0
fr_unbrch_alkane,0.0,0.0
