Feature,Model_Weight,Mean_SHAP
Arms,0.08251998700626159,0.13222160962627252
hydrophilicity,0.0,0.0
Concentration,0.062283213837710766,0.11322814303521216
MW,0.04922001833737811,0.14720186255163498
MaxEStateIndex,0.00012233872279293075,0.002579793834528649
MinAbsEStateIndex,0.0001989835617506993,0.0026069660465618213
MinEStateIndex,0.00035092165480439357,0.0018660334361259604
qed,0.10116053358894808,0.421353087680767
SPS,0.0,0.0
MolWt,1.4796831454814858e-08,2.2570438759968945e-05
HeavyAtomMolWt,0.0,0.0
NumValenceElectrons,0.0,0.0
MaxPartialCharge,7.5019935480615024e-06,0.0001770321683374312
MinPartialCharge,0.0,0.0
MaxAbsPartialCharge,0.03549867389874581,0.03289035669371334
MinAbsPartialCharge,0.04230201689884447,0.10402586354326031
FpDensityMorgan1,0.0008642296567364989,0.007197248692481521
FpDensityMorgan2,0.0,0.0
FpDensityMorgan3,0.0,0.0
BCUT2D_MWHI,0.001409200146261578,0.018244141105235073
BCUT2D_MWLOW,0.06395679219071952,0.13575615325118542
BCUT2D_CHGHI,4.439049436729795e-08,1.670727342777219e-05
BCUT2D_CHGLO,0.0005676730403838476,0.004522466133806903
BCUT2D_LOGPHI,7.250447413315821e-07,7.968593828201103e-05
BCUT2D_LOGPLOW,0.00038865480808582866,0.002273289412811682
BCUT2D_MRHI,0.0,0.0
BCUT2D_MRLOW,3.018849553600619e-05,0.0006538479949323166
AvgIpc,1.0128431131455128e-05,0.00043716639678587803
BalabanJ,5.393445065618204e-06,0.0002804745415062828
BertzCT,0.0,0.0
Chi0,0.0,0.0
Chi0n,0.0,0.0
Chi0v,0.0,0.0
Chi1,0.0,0.0
Chi1n,0.00027507982259473534,0.0025016087771208752
Chi1v,5.681983279005838e-06,0.0002905037025304953
Chi2n,0.0,0.0
Chi2v,0.0,0.0
Chi3n,0.0,0.0
Chi3v,1.2429338422822675e-06,0.00011828026891103724
Chi4n,0.0,0.0
Chi4v,0.0,0.0
HallKierAlpha,0.00011560024574801771,0.002302236905800032
Ipc,0.35046665785000036,0.263588227802925
Kappa1,0.0,0.0
Kappa2,0.0,0.0
Kappa3,0.0,0.0
LabuteASA,0.0,0.0
PEOE_VSA1,0.00035909969060000284,0.00300015321146397
PEOE_VSA10,0.0,0.0
PEOE_VSA12,0.0,0.0
PEOE_VSA14,0.0,0.0
PEOE_VSA2,0.0,0.0
PEOE_VSA3,0.0,0.0
PEOE_VSA6,0.0,0.0
PEOE_VSA7,0.0,0.0
PEOE_VSA8,0.0,0.0
PEOE_VSA9,5.8003579306508415e-06,0.0003266248701945227
SMR_VSA1,0.0,0.0
SMR_VSA10,0.0,0.0
SMR_VSA3,0.0,0.0
SMR_VSA4,0.0,0.0
SMR_VSA5,0.003480584679177066,0.008227200155834433
SMR_VSA6,0.023469449441456056,0.05320263125418456
SMR_VSA7,0.0,0.0
SlogP_VSA1,0.0,0.0
SlogP_VSA2,3.389658149881785e-05,0.0008581394031471895
SlogP_VSA3,0.0,0.0
SlogP_VSA5,0.0005185756739305372,0.005087228959015816
SlogP_VSA6,0.0,0.0
TPSA,0.0,0.0
EState_VSA1,0.0,0.0
EState_VSA10,0.0,0.0
EState_VSA2,0.0024813094967689638,0.02795781970390103
EState_VSA3,0.0,0.0
EState_VSA4,0.0,0.0
EState_VSA5,0.0,0.0
EState_VSA7,0.0,0.0
EState_VSA8,0.0,0.0
EState_VSA9,0.0,0.0
VSA_EState1,0.0,0.0
VSA_EState2,0.0,0.0
VSA_EState3,2.48882705085472e-06,0.00020175327748200305
VSA_EState4,0.0,0.0
VSA_EState5,0.0,0.0
VSA_EState7,0.0,0.0
VSA_EState8,0.17357551302155017,0.25244313495290743
FractionCSP3,0.0,0.0
HeavyAtomCount,1.2699909055158809e-05,0.0006299935478627682
NHOHCount,1.740107379194967e-05,0.0004839197467241072
NOCount,0.0032041519649873298,0.013921819042399782
NumAliphaticHeterocycles,0.0,0.0
NumAliphaticRings,0.0,0.0
NumAmideBonds,0.0,0.0
NumAtomStereoCenters,0.0,0.0
NumHAcceptors,0.0,0.0
NumHDonors,0.0,0.0
NumHeteroatoms,0.0004492403695829628,0.0035766152965365406
NumHeterocycles,0.0,0.0
NumRotatableBonds,0.0,0.0
NumSaturatedHeterocycles,0.0,0.0
NumSaturatedRings,0.0,0.0
NumUnspecifiedAtomStereoCenters,0.0005089083348316134,0.005456472855198705
Phi,0.0,0.0
RingCount,0.0,0.0
MolLogP,0.0,0.0
MolMR,0.000117193864495773,0.0020534317439871714
fr_Al_COO,0.0,0.0
fr_Al_OH,3.995144493050439e-07,4.750823793155694e-05
fr_Al_OH_noTert,0.0,0.0
fr_COO,1.7904166061448887e-06,0.0001418023712594218
fr_COO2,0.0,0.0
fr_C_O,0.0,0.0
fr_C_O_noCOO,0.0,0.0
fr_NH0,0.0,0.0
fr_NH1,0.0,0.0
fr_NH2,0.0,0.0
fr_allylic_oxid,0.0,0.0
fr_amide,0.0,0.0
fr_ester,0.0,0.0
fr_ether,0.0,0.0
fr_lactone,0.0,0.0
fr_priamide,0.0,0.0
fr_unbrch_alkane,0.0,0.0
