Feature,Model_Weight,Mean_SHAP
Arms,0.02722550123589295,0.045191211347906324
hydrophilicity,0.00048491344480009477,0.0009419323205948902
Concentration,0.07195354649255534,0.11172788318625068
MW,0.21794535545135713,0.12680587346770825
MaxEStateIndex,0.0027183376029352186,0.0024316429606578206
MinAbsEStateIndex,0.002136237715921819,0.002109222354713211
MinEStateIndex,0.004861596704684631,0.004420128794380101
qed,0.006274636510548372,0.0040529758290468515
SPS,0.0034622455245827315,0.00577175288034445
MolWt,0.06500017319204696,0.15207354608495402
HeavyAtomMolWt,0.0025918355815454383,0.0017176160797543999
NumValenceElectrons,0.002184439567799209,0.002183135230807339
MaxPartialCharge,0.0015258484925624283,0.0015810790002364625
MinPartialCharge,0.01149620669125216,0.00954693878237326
MaxAbsPartialCharge,0.005396744197226662,0.009956279263245462
MinAbsPartialCharge,0.03091162914253412,0.05197642324132288
FpDensityMorgan1,0.00447201263490311,0.004131729524900843
FpDensityMorgan2,0.004652172727997417,0.003974496468565664
FpDensityMorgan3,0.003871787522577768,0.0036035696997017926
BCUT2D_MWHI,0.004708966345243222,0.003122438991088431
BCUT2D_MWLOW,0.0024399767643099326,0.002468475782095211
BCUT2D_CHGHI,0.006207765462301315,0.005115171275110621
BCUT2D_CHGLO,0.07899367349916019,0.07352541992377991
BCUT2D_LOGPHI,0.002557317704764058,0.003807298571199542
BCUT2D_LOGPLOW,0.0022106421217098315,0.0027066912122290314
BCUT2D_MRHI,0.002279404712740198,0.00245301166776353
BCUT2D_MRLOW,0.005361913389451232,0.005079558327681611
AvgIpc,0.006931235971855128,0.005835439242516578
BalabanJ,0.004820259125209913,0.009024750538216393
BertzCT,0.00286307220467046,0.0017333338596616603
Chi0,0.0021503335833386182,0.002044963566408564
Chi0n,0.00782088457483944,0.01613616154568668
Chi0v,0.0027583933242647566,0.004436557571088132
Chi1,0.0012747712713807174,0.0026178747275299907
Chi1n,0.002077276044909472,0.0019749155086585418
Chi1v,0.003544455044784346,0.0033062937773388422
Chi2n,0.002996525383228462,0.004050976687499918
Chi2v,0.0032099394072681356,0.004539871386985186
Chi3n,0.007553756951307768,0.00654625789268036
Chi3v,0.0034211751746406156,0.004771981277485132
Chi4n,0.0007013217065513549,0.0004310147390070741
Chi4v,0.001092449422379695,0.0007666107853892927
HallKierAlpha,0.0006560777378167544,0.0004467827461738287
Ipc,0.001726537162866934,0.0022814601714376305
Kappa1,0.0020520027214774817,0.002621191663575637
