Feature,Model_Weight,Mean_SHAP
Arms,0.03440824771097752,0.04261524678205477
hydrophilicity,0.12293949251197672,0.1811864063830268
Concentration,0.10816301603807045,0.2263080187205314
MW,0.2562187788647641,0.1806461082858897
MaxEStateIndex,0.0015276363683706452,0.001638358870256175
MinAbsEStateIndex,0.0019819179958516717,0.0021663381318544634
MinEStateIndex,0.007310507652343868,0.016049678359604663
qed,0.0020248491584533026,0.0018119634641359935
SPS,0.005090302701577961,0.00555300974905538
MolWt,0.004747149150897194,0.005749276929064345
HeavyAtomMolWt,0.0014944915387682918,0.001551368202576707
NumValenceElectrons,0.001174339810017237,0.0013877390647532122
MaxPartialCharge,0.0012305469397017816,0.0015065915109487955
MinPartialCharge,0.0026049826328491794,0.00219149026955987
MaxAbsPartialCharge,0.002952755686415156,0.003679244014837089
MinAbsPartialCharge,0.003291641665148921,0.0034763041620125895
FpDensityMorgan1,0.0013850041358861647,0.0019015687715022633
FpDensityMorgan2,0.001924879462065686,0.002045107856212554
FpDensityMorgan3,0.0018975446137801525,0.002807854928630574
BCUT2D_MWHI,0.0019970289890324706,0.0022034762802298443
BCUT2D_MWLOW,0.005961392653169978,0.006336347316973453
BCUT2D_CHGHI,0.003014990426933773,0.0036125408982601564
BCUT2D_CHGLO,0.0063795587749932185,0.007255029777996869
BCUT2D_LOGPHI,0.0026101753812983854,0.004114514886073995
BCUT2D_LOGPLOW,0.002576544343611177,0.002951918185502645
BCUT2D_MRHI,0.0014012236534719264,0.002396738161811335
BCUT2D_MRLOW,0.015613139539363684,0.04052845081028502
AvgIpc,0.005008069327258371,0.010517137084793618
BalabanJ,0.008237945951795448,0.010025488422656246
BertzCT,0.000877264788881085,0.001214326164174245
Chi0,0.0008756605189649503,0.001334704714912542
Chi0n,0.005678334352618153,0.007862922267068173
Chi0v,0.0030449066724263143,0.003339413356719772
Chi1,0.001585728117557897,0.0016755807096983525
Chi1n,0.002986305698634071,0.003255714510687778
Chi1v,0.0022801925769144957,0.0021827655720169127
Chi2n,0.0019220375977511773,0.0027596859580966858
Chi2v,0.0011909072542946391,0.0012678307279651764
Chi3n,0.0032559484624342877,0.005378693011635805
Chi3v,0.0008985888845515688,0.0010367038922493813
Chi4n,0.0003885777166033203,0.0002690257236698492
Chi4v,7.028976941098081e-05,0.00012436348014143554
HallKierAlpha,0.0006042764347027615,0.0011231798763834087
Ipc,0.001231858243319951,0.00134194256709368
Kappa1,0.0010649151455253217,0.0012588556273064014
Kappa2,0.0020582125526413717,0.002520804669857282
Kappa3,0.0053124888917928815,0.011874880866355648
LabuteASA,0.002207383991382131,0.0024821946169687236
PEOE_VSA1,0.0007570577941564327,0.0015137255343935037
PEOE_VSA10,0.0001566434771656828,0.0003146128487432875
PEOE_VSA12,4.407681662730523e-05,8.428570913052968e-05
PEOE_VSA14,0.00012107802010984354,0.00027426269941868323
PEOE_VSA2,0.0003073000586223851,0.0005851141349617918
PEOE_VSA3,8.807195404196628e-05,0.00025034295871561956
PEOE_VSA6,0.00024430593514675615,0.0005725890364276028
PEOE_VSA7,0.004675964665061344,0.009395707593834814
PEOE_VSA8,0.00047897624148704655,0.0004069930928168035
PEOE_VSA9,0.002782801061742505,0.003460160288099523
SMR_VSA1,0.00032413826250496294,0.0007219186622139623
SMR_VSA10,0.00010289344402831221,0.0001441656921054095
SMR_VSA3,4.974594502203407e-05,6.726591262991405e-05
SMR_VSA4,8.259232853817216e-05,0.00016370414643434108
SMR_VSA5,0.09604612485227297,0.13581039718078167
SMR_VSA6,0.004505802452925019,0.003665279866177057
SMR_VSA7,0.0001869407713106739,0.0004564165928541129
SlogP_VSA1,7.135937912533394e-05,0.0001788542793403205
SlogP_VSA2,0.009994118900940211,0.01225156900390186
SlogP_VSA3,0.00027885267109877817,0.0007295318553199539
SlogP_VSA5,0.0012323317433725603,0.0016441769685219903
SlogP_VSA6,0.0005475293866230097,0.0008799433849626507
TPSA,0.00034978270148920134,0.0006427241429180399
EState_VSA1,0.0506372561598384,0.06974511939111673
EState_VSA10,0.0004655825851729934,0.0004443453869233331
EState_VSA2,0.0037607269891507347,0.004093112594071815
