Feature,Model_Weight,Mean_SHAP
Arms,0.00021835824735640767,0.003483607207816258
hydrophilicity,0.0,0.0
Concentration,0.10816785700253598,0.12534182388199275
MW,0.12675288338091997,0.10328022541003586
MaxEStateIndex,0.0,0.0
MinAbsEStateIndex,0.0,0.0
MinEStateIndex,9.052335295120277e-05,0.00197491592654902
qed,0.0003264597433626283,0.015007796463958594
SPS,0.0,0.0
MolWt,0.0,0.0
HeavyAtomMolWt,0.0,0.0
NumValenceElectrons,0.0,0.0
MaxPartialCharge,0.09493800788335664,0.06520221096419221
MinPartialCharge,0.0,0.0
MaxAbsPartialCharge,0.22034418413775503,0.2425504495342302
MinAbsPartialCharge,1.5916933195790145e-05,0.00043189736515997625
FpDensityMorgan1,0.00028822834709512106,0.002784023348090208
FpDensityMorgan2,0.0,0.0
FpDensityMorgan3,0.0,0.0
BCUT2D_MWHI,0.0006081884604511229,0.009295194307079471
BCUT2D_MWLOW,2.7555265583242694e-05,0.0014644876390653221
BCUT2D_CHGHI,0.0005015737238873309,0.007577741882768187
BCUT2D_CHGLO,0.0,0.0
BCUT2D_LOGPHI,0.0,0.0
BCUT2D_LOGPLOW,0.0,0.0
BCUT2D_MRHI,0.0,0.0
BCUT2D_MRLOW,0.0,0.0
AvgIpc,0.0,0.0
BalabanJ,0.00022632183709755046,0.0019467733776718707
BertzCT,0.0,0.0
Chi0,0.0,0.0
Chi0n,0.0,0.0
Chi0v,3.390589319813249e-06,0.0004978234528032461
Chi1,0.00029357432115301185,0.003537982717436302
Chi1n,9.536032461974648e-05,0.0015120044943030698
Chi1v,0.00010887559038066843,0.001143881087733273
Chi2n,0.0,0.0
Chi2v,0.0,0.0
Chi3n,0.0,0.0
Chi3v,0.0,0.0
Chi4n,0.0,0.0
Chi4v,0.0,0.0
HallKierAlpha,0.0,0.0
Ipc,0.0,0.0
Kappa1,1.6482031415758655e-05,0.0005248626003312583
Kappa2,0.0,0.0
Kappa3,0.07295117306816741,0.03959775230675741
LabuteASA,0.0,0.0
PEOE_VSA1,0.0,0.0
PEOE_VSA10,0.0,0.0
PEOE_VSA12,0.0,0.0
PEOE_VSA14,0.0,0.0
PEOE_VSA2,0.0,0.0
PEOE_VSA3,0.0,0.0
PEOE_VSA6,0.0,0.0
PEOE_VSA7,0.0,0.0
PEOE_VSA8,0.0,0.0
PEOE_VSA9,3.099967378114875e-05,0.0009403272849479925
SMR_VSA1,4.195460638998513e-05,0.0012382918512456095
SMR_VSA10,0.0,0.0
SMR_VSA3,0.0,0.0
SMR_VSA4,0.0,0.0
SMR_VSA5,0.0,0.0
SMR_VSA6,0.0,0.0
SMR_VSA7,0.0,0.0
SlogP_VSA1,0.0,0.0
SlogP_VSA2,0.0,0.0
SlogP_VSA3,0.0,0.0
SlogP_VSA5,0.00041699231575784715,0.007939966728415392
SlogP_VSA6,0.0,0.0
TPSA,0.0,0.0
EState_VSA1,2.307484398206206e-05,0.0008211717712904723
EState_VSA10,0.0,0.0
EState_VSA2,0.00012132536268212859,0.004592143779726696
EState_VSA3,0.0,0.0
EState_VSA4,0.0,0.0
EState_VSA5,0.00021999106808852093,0.014625516568724318
EState_VSA7,0.0,0.0
EState_VSA8,0.0,0.0
EState_VSA9,0.0,0.0
VSA_EState1,0.0,0.0
VSA_EState2,0.0,0.0
VSA_EState3,0.2177504303448308,0.4721529901424052
VSA_EState4,0.0,0.0
VSA_EState5,0.0064094852854418944,0.01382697730100703
VSA_EState7,0.0,0.0
VSA_EState8,0.13879696347206166,0.14567756802696472
FractionCSP3,0.0,0.0
HeavyAtomCount,0.0,0.0
NHOHCount,0.0,0.0
NOCount,1.0171767959439553e-05,0.0003323570131859026
NumAliphaticHeterocycles,0.0,0.0
NumAliphaticRings,0.0,0.0
NumAmideBonds,0.0,0.0
NumAtomStereoCenters,0.0,0.0
NumHAcceptors,0.0,0.0
NumHDonors,0.0,0.0
NumHeteroatoms,0.0,0.0
NumHeterocycles,0.0,0.0
NumRotatableBonds,0.0,0.0
NumSaturatedHeterocycles,1.1301964399377172e-06,0.0001259790783834448
NumSaturatedRings,0.0,0.0
NumUnspecifiedAtomStereoCenters,0.0,0.0
Phi,0.0,0.0
RingCount,0.0,0.0
MolLogP,0.0,0.0
MolMR,0.0,0.0
fr_Al_COO,0.0,0.0
fr_Al_OH,1.1301964399377983e-06,9.09088253156965e-05
fr_Al_OH_noTert,0.0,0.0
fr_COO,0.010201436625540156,0.04782915250459007
fr_COO2,0.0,0.0
fr_C_O,0.0,0.0
fr_C_O_noCOO,0.0,0.0
fr_NH0,0.0,0.0
fr_NH1,0.0,0.0
fr_NH2,0.0,0.0
fr_allylic_oxid,0.0,0.0
fr_amide,0.0,0.0
fr_ester,0.0,0.0
fr_ether,0.0,0.0
fr_lactone,0.0,0.0
fr_priamide,0.0,0.0
fr_unbrch_alkane,0.0,0.0
